install_date,player_id,country,device_brand,is_organic,var_01,var_02,var_03,var_04,var_05,var_06,var_07,var_08,var_09,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,var_21,var_22,var_23,var_24,var_25,var_26,var_27,var_28,var_29,var_30,var_31,var_32,var_33,var_34,var_35,var_36,var_37,var_38,var_39,var_40,var_41,var_42,revenue_d30
12/10/22,pl00368026c2,Indonesia,Xiaomi,1,12,75,45,1,5,10,4,214,635.4550898,11,6,8,71,5,11,10,60,NA,18,21,76,57,221,NA,26,12,2,40,6,12,15443,14,180,48500,25,16,6,8174,19944,100,0,1000,0
07/10/22,pl00510c6d3a,Germany,samsung,0,10,65,45,NA,1,7,4,85,517.1360544,16,3,5,339,4,9,8,33,1,26,21,89,22,297,NA,7,8,2,22,8,14,3354,3,0,450,43,44,1,15896,5810,38,0,7566,19.95
20/10/22,pl00bf4a1f7a,Malaysia,vivo,0,10,5,18,3,4,10,NA,281,410.240988,11,4,NA,644,4,9,7,68,NA,1,3,93,1,216,1,25,74,1,5,7,12,9900,5,147,18120,16,14,2,7660,18020,112,0,939,0
04/10/22,pl0040d7c1bd,Thailand,NA,0,10,11,17,NA,3,5,NA,32,381.6427184,5,1,NA,314,2,6,1,28,NA,NA,1,40,5,89,2,NA,47,1,5,4,7,NA,NA,NA,NA,NA,2,1,201,80,2,0,62,0
11/10/22,pl00f6e4154b,Russia,HUAWEI,1,12,6,4,1,4,11,NA,26,206.6325023,8,2,NA,640,4,8,8,72,NA,NA,2,86,2,296,3,8,79,2,2,7,13,3190,3,6,4710,9,9,3,3190,4710,6,0,252,0
22/10/22,pl00f168952b,Indonesia,samsung,0,12,NA,NA,NA,2,7,NA,3,315.507431,10,5,1,59,3,7,6,14,NA,NA,2,33,NA,208,3,14,6,2,3,6,11,6645,5,101,9550,12,10,3,3111,4600,44,0,1862,0
21/10/22,pl006f453151,India,vivo,0,10,16,26,1,2,8,NA,135,332.86,15,1,8,66,3,7,7,14,1,6,NA,51,22,109,1,12,6,1,36,5,9,14831,9,50,27595,18,NA,NA,NA,NA,NA,NA,111,0
04/10/22,pl00fd336833,Philippines,vivo,1,10,26,25,1,4,10,NA,95,228.831761,13,1,2,804,6,12,10,30,NA,11,1,97,NA,219,NA,8,1,3,8,7,14,15933,5,60,33856,20,15,1,7318,14740,12,0,58,0
31/10/22,pl0014aad245,Thailand,OPPO,0,10,24,43,1,2,6,NA,247,348.5726341,19,6,5,771,4,8,8,50,NA,1,1,73,NA,317,9,15,8,2,29,5,10,5458,9,2,400,54,54,3,2673,400,0,0,706,0
04/10/22,pl0021b41537,United Arab Emirates,HUAWEI,0,12,71,4,2,6,7,6,22,438.2850737,4,0,6,616,3,5,4,49,127,34,21,37,180,1038,2,12,91,1,20,2,8,1792,2,5,1537,74,74,2,1792,1537,5,0,246,0
04/10/22,pl00dda65d40,Israel,HUAWEI,1,12,27,34,1,5,8,5,143,371.4251734,20,5,7,487,6,9,12,62,NA,16,13,66,NA,205,1,2,65,2,22,6,14,8201,6,1,16298,15,12,3,4353,10480,1,0,7,0
16/10/22,pl00275f7de3,United States,samsung,1,10,108,56,1,3,9,1,145,838.8568019,17,5,4,118,5,11,7,34,NA,13,2,64,41,288,NA,NA,7,3,12,6,11,9840,3,196,22466,19,19,3,9840,22376,196,0,1049,0
18/10/22,pl00920e1459,Germany,Sony,0,12,5,2,1,3,8,4,66,347.9442756,5,3,4,634,3,7,8,63,4,2,1,92,17,325,6,17,15,1,5,6,12,2839,3,14,13330,29,25,1,555,80,0,0,17,0
31/10/22,pl00f0ae755c,Netherlands,OPPO,0,12,11,16,1,3,3,NA,63,246.0617647,20,6,1,201,2,6,5,26,2,3,1,52,13,115,NA,NA,9,1,2,4,9,2166,2,10,4410,9,2,1,174,80,0,0,137,1.98
01/10/22,pl00214c2521,Indonesia,samsung,0,12,7,14,NA,4,6,5,198,371.1544,19,4,9,1069,5,12,12,65,NA,3,3,94,NA,147,2,13,12,3,34,7,13,45173,20,102,52645,27,7,4,10823,4210,9,0,282,0
24/10/22,pl00a4e93fd9,United States,motorola,0,10,170,147,1,4,5,8,246,317.8659103,21,0,17,1044,5,9,10,64,NA,56,55,38,13,242,NA,10,71,3,61,6,10,2473,5,146,10510,60,60,3,2166,4590,4,0,84,20.93
10/10/22,pl00aa3d5d07,Netherlands,Xiaomi,0,10,NA,NA,NA,NA,NA,NA,9,120.8659794,7,4,NA,1171,NA,NA,9,40,NA,NA,1,62,NA,NA,NA,20,1,1,7,7,13,8467,7,20,12292,14,NA,NA,NA,NA,NA,NA,395,0
23/10/22,pl0046487bc4,India,samsung,1,12,15,15,3,3,6,NA,195,373.7948482,8,1,1,439,4,8,8,9,NA,NA,1,50,NA,56,NA,3,8,3,4,5,10,10237,6,34,17920,13,11,1,5519,11440,9,0,552,0
08/10/22,pl005e05321f,Ukraine,Xiaomi,0,12,36,33,1,4,10,12,307,217.5913285,7,1,14,1430,5,9,10,52,NA,36,40,125,508,650,1,27,87,3,44,6,11,19275,27,0,66430,73,73,10,4616,1205,0,0,696,0
